day_of_week_num,day_of_week,member_casual,total_rides,total_ride_minutes,avg_ride_length
1,Monday,casual,227736,4322034.627916725,18.97826706325186
1,Monday,member,502652,5803432.653615093,11.545627300030823
2,Tuesday,casual,225112,3821282.828100145,16.975029443566513
2,Tuesday,member,562933,6548381.645283536,11.632612842529282
3,Wednesday,casual,221096,3483636.3390513696,15.756216028563925
3,Wednesday,member,550021,6284069.862833838,11.425145335966878
4,Thursday,casual,257518,4329037.936667029,16.810622700809375
4,Thursday,member,575857,6630880.436819243,11.514803912810374
5,Friday,casual,319282,6011479.8994153775,18.828120280552543
5,Friday,member,528859,6299836.853749498,11.912129421546192
6,Saturday,casual,413144,8868975.28035181,21.46703154433275
6,Saturday,member,450056,5856151.837784759,13.012051473116143
7,Sunday,casual,330886,7327810.685666505,22.146028196014655
7,Sunday,member,382175,5038769.721818344,13.184456654198584
