month,member_casual,total_rides,total_ride_minutes,avg_ride_length
2025-01-01T00:00:00Z,casual,24076,280465.01748373907,11.649153409359489
2025-01-01T00:00:00Z,member,114506,1121946.4782668152,9.798145758884383
2025-02-01T00:00:00Z,casual,27709,334582.39424969355,12.074863555151524
2025-02-01T00:00:00Z,member,124123,1216676.1429175537,9.802181246969164
2025-03-01T00:00:00Z,casual,85662,1483060.223033039,17.312930156114017
2025-03-01T00:00:00Z,member,212226,2321391.8238494233,10.938300791841826
2025-04-01T00:00:00Z,casual,108971,1965019.8396339377,18.032502589073587
2025-04-01T00:00:00Z,member,262096,2909045.8939008955,11.099161734253462
2025-05-01T00:00:00Z,casual,182263,3661739.1684500934,20.09041422806655
2025-05-01T00:00:00Z,member,319750,3738558.9024997475,11.69213104769272
2025-06-01T00:00:00Z,casual,291138,6110833.329184154,20.989473477128215
2025-06-01T00:00:00Z,member,386709,4877900.583219028,12.613879126731025
2025-07-01T00:00:00Z,casual,322505,6618149.471783622,20.521075554746815
2025-07-01T00:00:00Z,member,439965,5665397.753033717,12.87692828528114
2025-08-01T00:00:00Z,casual,337246,7029202.504466562,20.842952931885215
2025-08-01T00:00:00Z,member,452355,5798705.941116234,12.818927481991432
2025-09-01T00:00:00Z,casual,264772,4984307.2952339295,18.824903295038485
2025-09-01T00:00:00Z,member,449202,5566228.27701739,12.391370200972815
2025-10-01T00:00:00Z,casual,223569,3882745.235183124,17.367100247275445
2025-10-01T00:00:00Z,member,421921,5022193.820499599,11.903161540903627
2025-11-01T00:00:00Z,casual,98871,1466495.7709006153,14.83241568205657
2025-11-01T00:00:00Z,member,257292,2945610.728666918,11.448512696340803
2025-12-01T00:00:00Z,casual,27992,347657.3475664536,12.419882379481766
2025-12-01T00:00:00Z,member,112408,1277866.6669169902,11.36811140592298
